UNITNAME,ARCHIVE_PATH,ID
b'DES0741+0626',b'DEC/multiepoch/delve/r5918/DES0741+0626/p02',21650135
b'DES0741+1417',b'DEC/multiepoch/delve/r5918/DES0741+1417/p02',21650140
b'DES0741+1500',b'DEC/multiepoch/delve/r5918/DES0741+1500/p02',21650141
b'DES0741+1917',b'DEC/multiepoch/delve/r5918/DES0741+1917/p02',21650144
b'DES0746+2126',b'DEC/multiepoch/delve/r5918/DES0746+2126/p01',21650217
b'DES0747+1417',b'DEC/multiepoch/delve/r5918/DES0747+1417/p01',21650231
b'DES0748+0709',b'DEC/multiepoch/delve/r5918/DES0748+0709/p01',21650242
b'DES0749+0335',b'DEC/multiepoch/delve/r5918/DES0749+0335/p01',21650255
b'DES0749+1000',b'DEC/multiepoch/delve/r5918/DES0749+1000/p01',21650257
b'DES0749+2834',b'DEC/multiepoch/delve/r5918/DES0749+2834/p01',21650267
b'DES0749-0333',b'DEC/multiepoch/delve/r5918/DES0749-0333/p01',21650269
b'DES0751-0458',b'DEC/multiepoch/delve/r5918/DES0751-0458/p01',21650305
b'DES0752+2126',b'DEC/multiepoch/delve/r5918/DES0752+2126/p01',21650315
b'DES0753+2751',b'DEC/multiepoch/delve/r5918/DES0753+2751/p01',21650335
b'DES0755+1709',b'DEC/multiepoch/delve/r5918/DES0755+1709/p01',21650365
b'DES0755-0333',b'DEC/multiepoch/delve/r5918/DES0755-0333/p01',21650370
b'DES0756+1417',b'DEC/multiepoch/delve/r5918/DES0756+1417/p01',21650379
b'DES0757+0209',b'DEC/multiepoch/delve/r5918/DES0757+0209/p01',21650393
b'DES0759+2625',b'DEC/multiepoch/delve/r5918/DES0759+2625/p01',21650441
b'DES0930-0416',b'DEC/multiepoch/delve/r5918/DES0930-0416/p02',21658789
b'DES1142-2124',b'DEC/multiepoch/delve/r5918/DES1142-2124/p02',21658996
b'DES1143+1417',b'DEC/multiepoch/delve/r5918/DES1143+1417/p02',21658999
b'DES1139-2124',b'DEC/multiepoch/delve/r5918/DES1139-2124/p01',21658290
b'DES1052+1334',b'DEC/multiepoch/delve/r5918/DES1052+1334/p02',21658903
b'DES1153-0416',b'DEC/multiepoch/delve/r5918/DES1153-0416/p01',21658627
b'DES0715+2334',b'DEC/multiepoch/delve/r5918/DES0715+2334/p01',21648797
b'DES0807+2251',b'DEC/multiepoch/delve/r5918/DES0807+2251/p01',21650861
b'DES0851-0458',b'DEC/multiepoch/delve/r5918/DES0851-0458/p02',21653988
b'DES0858-1250',b'DEC/multiepoch/delve/r5918/DES0858-1250/p01',21654170
b'DES0940+1209',b'DEC/multiepoch/delve/r5918/DES0940+1209/p01',21655235
b'DES1018+2417',b'DEC/multiepoch/delve/r5918/DES1018+2417/p01',21656206
b'DES1028-0458',b'DEC/multiepoch/delve/r5918/DES1028-0458/p01',21656464
b'DES1031+0126',b'DEC/multiepoch/delve/r5918/DES1031+0126/p01',21656524
b'DES1034+0626',b'DEC/multiepoch/delve/r5918/DES1034+0626/p01',21656602
b'DES1034+1917',b'DEC/multiepoch/delve/r5918/DES1034+1917/p01',21656606
b'DES1035+1417',b'DEC/multiepoch/delve/r5918/DES1035+1417/p01',21656629
b'DES1036+2500',b'DEC/multiepoch/delve/r5918/DES1036+2500/p01',21656666
b'DES1037+2417',b'DEC/multiepoch/delve/r5918/DES1037+2417/p01',21656685
b'DES1038+2834',b'DEC/multiepoch/delve/r5918/DES1038+2834/p01',21656716
b'DES1038-0833',b'DEC/multiepoch/delve/r5918/DES1038-0833/p01',21656721
b'DES1038-1207',b'DEC/multiepoch/delve/r5918/DES1038-1207/p01',21656723
b'DES1038-1415',b'DEC/multiepoch/delve/r5918/DES1038-1415/p01',21656726
b'DES1038-1832',b'DEC/multiepoch/delve/r5918/DES1038-1832/p01',21656729
b'DES1040-1707',b'DEC/multiepoch/delve/r5918/DES1040-1707/p01',21656769
b'DES1042+0626',b'DEC/multiepoch/delve/r5918/DES1042+0626/p01',21656811
b'DES1043+0500',b'DEC/multiepoch/delve/r5918/DES1043+0500/p01',21656832
b'DES1044+2000',b'DEC/multiepoch/delve/r5918/DES1044+2000/p01',21656863
b'DES1044-1541',b'DEC/multiepoch/delve/r5918/DES1044-1541/p01',21656875
b'DES1044-2332',b'DEC/multiepoch/delve/r5918/DES1044-2332/p01',21656879
b'DES1045+0043',b'DEC/multiepoch/delve/r5918/DES1045+0043/p01',21656881
b'DES1046-2415',b'DEC/multiepoch/delve/r5918/DES1046-2415/p01',21656927
b'DES1047+1209',b'DEC/multiepoch/delve/r5918/DES1047+1209/p01',21656934
b'DES1047+1334',b'DEC/multiepoch/delve/r5918/DES1047+1334/p01',21656936
b'DES1047-1415',b'DEC/multiepoch/delve/r5918/DES1047-1415/p01',21656951
b'DES1048+2751',b'DEC/multiepoch/delve/r5918/DES1048+2751/p01',21656973
b'DES1155-1541',b'DEC/multiepoch/delve/r5918/DES1155-1541/p01',21658682
b'DES1157-1958',b'DEC/multiepoch/delve/r5918/DES1157-1958/p01',21658743
b'DES0745+0835',b'DEC/multiepoch/delve/r5918/DES0745+0835/p01',21650196
b'DES0751+2000',b'DEC/multiepoch/delve/r5918/DES0751+2000/p01',21650295
